player_name,Season,was_home,assists_(per_90),attempted_passes_(per_90),big_chances_created_(per_90),big_chances_missed_(per_90),completed_passes_(per_90),dribbles_(per_90),goals_scored_(per_90),key_passes_(per_90),offside_(per_90),tackled/lost_possession_(per_90),target_missed_(per_90),winning_goals_(per_90),tackles_(per_90),red_cards_(per_90),yellow_cards_(per_90)
Harry Kane (18/19),18/19,1,0.264900662,20.52980132,0.132450331,0.463576159,15.03311258,1.589403974,0.728476821,1.125827815,0.198675497,3.245033113,1.456953642,0.331125828,0.198675497,0,0.198675497
Harry Kane (18/19),18/19,0,0.169172932,20.46992481,0.338345865,0.338345865,14.97180451,1.353383459,0.507518797,1.09962406,0.592105263,3.214285714,0.845864662,0.084586466,0.169172932,0,0.169172932
Jamie Vardy (18/19),18/19,1,0.137195122,13.23932927,0.137195122,0.480182927,8.711890244,0.480182927,0.68597561,0.960365854,1.166158537,1.166158537,0.617378049,0.274390244,0.205792683,0,0
Jamie Vardy (18/19),18/19,0,0.190947666,14.06647808,0.31824611,0.636492221,9.356435644,0.31824611,0.509193777,1.145685997,1.272984441,1.400282885,1.272984441,0.190947666,0.445544554,0.063649222,0.190947666
Joshua King (18/19),18/19,1,0,26.69274538,0.320056899,0.192034139,18.81934566,2.240398293,0.192034139,1.024182077,0.12802276,4.160739687,0.960170697,0,0.384068279,0,0.12802276
Joshua King (18/19),18/19,0,0.173410405,22.42774566,0.289017341,0.404624277,16.3583815,1.734104046,0.520231214,1.271676301,0.289017341,5.375722543,0.924855491,0.115606936,0.462427746,0,0.057803468
Marko Arnautovic (18/19),18/19,1,0.296377607,26.97036224,0.395170143,0.395170143,20.25246981,0.889132821,0.296377607,1.580680571,0.790340285,2.272228321,0.69154775,0,0.098792536,0,0.098792536
Marko Arnautovic (18/19),18/19,0,0.167130919,30.66852368,0.08356546,0.334261838,22.89693593,0.835654596,0.584958217,1.671309192,1.086350975,2.08913649,0.835654596,0.08356546,0.417827298,0,0.167130919
Pierre-Emerick Aubameyang (18/19),18/19,1,0.13740458,22.25954198,0.06870229,0.618320611,16.90076336,0.687022901,0.618320611,0.755725191,0.618320611,2.335877863,1.030534351,0.20610687,0.34351145,0,0
Pierre-Emerick Aubameyang (18/19),18/19,0,0.318696884,23.20113314,0.382436261,0.637393768,16.95467422,1.147308782,0.828611898,1.402266289,0.892351275,1.720963173,1.083569405,0.127478754,0.509915014,0,0
Raul Jimenez (18/19),18/19,1,0.245231608,30.04087193,0.245231608,0.30653951,20.84468665,0.797002725,0.30653951,0.858310627,0.919618529,2.942779292,1.410081744,0.122615804,0.367847411,0,0.183923706
Raul Jimenez (18/19),18/19,0,0.328467153,31.36861314,0.49270073,0.273722628,23.92335766,0.98540146,0.437956204,1.532846715,0.98540146,3.065693431,1.587591241,0.109489051,0.49270073,0,0.054744526
Richarlison (18/19),18/19,1,0.064935065,26.55844156,0.064935065,0.194805195,17.92207792,1.168831169,0.38961039,0.519480519,0.454545455,4.415584416,0.649350649,0.064935065,1.038961039,0.064935065,0.25974026
Richarlison (18/19),18/19,0,0.141065831,26.80250784,0.070532915,0.282131661,18.69122257,1.199059561,0.493730408,0.846394984,0.705329154,0,1.269592476,0.211598746,0.775862069,0,0.070532915
Roberto Firmino (18/19),18/19,1,0.355450237,40.8056872,0.213270142,0.355450237,32.8436019,1.990521327,0.355450237,1.137440758,0.213270142,2.843601896,0.710900474,0.213270142,0.426540284,0,0
Roberto Firmino (18/19),18/19,0,0.201492537,47.41791045,0.335820896,0.201492537,38.28358209,1.276119403,0.470149254,1.813432836,0.268656716,2.888059701,0.805970149,0.134328358,0.537313433,0,0
Romelu Lukaku (18/19),18/19,1,0.078534031,23.40314136,0.078534031,0.706806283,15,0.706806283,0.628272251,0.785340314,0.785340314,2.905759162,0.706806283,0.235602094,0.235602094,0,0.235602094
